City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,port antonio,18.18,-76.4612,30.95,88,81,2.7,JM,1690421916
146,labrador city,52.9463,-66.9114,13.95,82,75,4.63,CA,1690421637
147,west island,-12.1568,96.8225,23.99,83,75,10.8,CC,1690421587
148,hualien city,23.9769,121.6044,26.96,97,100,3.65,TW,1690421917
149,palu,-0.8917,119.8707,31.32,57,47,1.01,ID,1690421661
150,severnoye,56.3491,78.3619,19.74,71,73,0.53,RU,1690421917
151,nouadhibou,20.931,-17.0347,22.99,73,99,8.75,MR,1690421917
152,hithadhoo,-0.6,73.0833,28.32,78,31,7.31,MV,1690421597
153,waddan,29.1614,16.139,30.6,16,0,2.59,LY,1690421917
154,saint-philippe,-21.3585,55.7679,18.77,82,55,4.84,RE,1690421770
155,callao,-12.0667,-77.15,19.84,82,100,4.63,PE,1690421345
156,byron bay,-28.65,153.6167,18.73,50,50,2.43,AU,1690421558
157,camamu,-13.9447,-39.1039,21.18,89,90,2.46,BR,1690421918
158,healesville,-37.65,145.5167,16.4,71,0,1.34,AU,1690421918
159,cabo san lucas,22.8909,-109.9124,31.61,71,20,5.14,MX,1690421857
160,khandyga,62.6667,135.6,22.1,30,0,5.46,RU,1690421638
161,harnai,30.1005,67.9374,27.52,69,8,0.56,PK,1690421919
162,lepsy,46.235,78.9456,29.74,23,0,0.66,KZ,1690421919
163,sabang,5.8933,95.3214,28.15,76,100,7.99,ID,1690421691
164,kayangel,8.0823,134.7173,26.88,82,100,10.97,PW,1690421636
165,altagracia de orituco,9.8601,-66.3814,22.39,97,97,0.63,VE,1690421753
166,monmouth,40.3001,-74.1663,27.92,68,0,2.06,US,1690421806
167,moravsky krumlov,49.0489,16.3117,13.29,80,0,5.14,CZ,1690421919
168,happy valley-goose bay,53.3168,-60.3315,22.17,53,75,2.06,CA,1690421410
169,jamestown,42.097,-79.2353,20.77,96,100,3.6,US,1690421442
170,conakry,9.538,-13.6773,26.45,83,100,2.99,GN,1690421655
171,inarajan village,13.2736,144.7484,26.89,93,100,5.32,GU,1690421704
172,kupang,-10.1667,123.5833,28.32,61,20,5.14,ID,1690421920
173,tashtyp,52.7939,89.8983,18.73,67,100,1.58,RU,1690421920
174,isafjordur,66.0755,-23.124,6.93,87,99,5.26,IS,1690421558
175,kavaratti,10.5669,72.642,28.14,73,100,6.09,IN,1690421602
176,bartica,6.4,-58.6167,26.18,97,2,1.08,GY,1690421920
177,zambezi,-13.5432,23.1047,11.86,51,0,2.26,ZM,1690421640
178,usinsk,65.9939,57.5281,16.41,85,62,1.9,RU,1690421775
179,darwin,-12.4611,130.8418,23.83,50,98,0.89,AU,1690421921
180,chardara,41.2547,67.9692,28.38,28,0,3.43,KZ,1690421921
181,midvagur,62.0511,-7.1939,8.46,81,100,1.03,FO,1690421657
182,ulladulla,-35.35,150.4667,19.49,30,0,2.78,AU,1690421713
183,sandnessjoen,66.0217,12.6316,13.29,88,65,2.62,NO,1690421651
184,port saint john's,-31.6229,29.5448,19.17,65,40,8.72,ZA,1690421591
185,tabuk,17.4189,121.4443,27.72,76,100,2.82,PH,1690421921
186,saint-joseph,-21.3667,55.6167,18.21,82,78,3.9,RE,1690421921
187,bela vista,-22.1089,-56.5211,21.42,50,84,1.72,BR,1690421921
188,mugia,43.1041,-9.2179,19.39,79,99,3.16,ES,1690421922
189,pierre,44.3683,-100.351,28.51,47,0,6.17,US,1690421690
190,ubon ratchathani,15.1667,105.1667,31.1,77,75,4.26,TH,1690421922
191,souillac,-20.5167,57.5167,20.21,83,20,1.03,MU,1690421922
192,dolores,-36.3132,-57.6792,7.33,82,55,4.57,AR,1690421922
193,piacabucu,-10.4056,-36.4344,22.67,86,61,1.26,BR,1690421691
194,natal,-5.795,-35.2094,24.36,100,40,3.09,BR,1690421881
195,lihue,21.9789,-159.3672,28.77,71,40,6.69,US,1690421569
196,kalmunai,7.4167,81.8167,27.67,69,100,2.47,LK,1690421923
197,colonia,50.9333,6.95,18.27,68,0,5.14,DE,1690421389
198,kingston,17.997,-76.7936,30.53,79,20,3.09,JM,1690421587
199,kodiak,57.79,-152.4072,15.73,77,100,4.12,US,1690421318
200,fisterra,42.9049,-9.2629,19.3,81,63,4.94,ES,1690421924
201,gebeit,21.0667,36.3167,30.53,39,9,5.46,SD,1690421924
202,port elizabeth,-33.918,25.5701,12.16,76,0,2.06,ZA,1690421573
203,papatowai,-46.5619,169.4708,6.91,71,100,9.81,NZ,1690421556
